camis,restaurant_name,borough,cuisine_description,cutoff_date,history_depth_bucket,raw_logistic_probability,calibrated_high_severity_probability,priority_rank
50001215,BYUNG CHUN SOON DAE,Queens,Korean,2026-08-22,4+,0.9193688321708411,0.889490411592493,1
50111296,BIG WONG,Manhattan,Chinese,2026-08-22,4+,0.9078784115794358,0.8765730686744877,2
50156592,GREAT TASTE USA,Manhattan,Chinese,2026-08-22,2-3,0.8990955365284137,0.8669022138850268,3
50078726,LINDA AZOGUENITA BAKERY & RESTAURANT,Queens,Latin American,2026-08-22,4+,0.8964452296877893,0.8640153726476213,4
50095962,GREEN GARDEN VILLAGE,Manhattan,Chinese,2026-08-22,2-3,0.8949154043238792,0.8623553223577066,5
50148253,RICOTTA COFFEE,Brooklyn,Jewish/Kosher,2026-08-22,2-3,0.890728805086168,0.8578352377399023,6
50076982,PRIME ASTORIA,Queens,Caribbean,2026-08-22,1,0.8843365334279039,0.8509957462180213,7
41585586,NIKKO,Manhattan,Asian/Asian Fusion,2026-08-22,2-3,0.858815876990695,0.8243520811327726,8
50151280,HA BO KITCHEN,Queens,Chinese,2026-08-22,1,0.8583542399551014,0.8238789326934864,9
50139363,GOLDEN LAKE PAVILION,Queens,Chinese,2026-08-22,2-3,0.8474642558773073,0.8127985997219276,10
50146434,876 CARIBBEAN EATERY,Queens,Caribbean,2026-08-22,2-3,0.8401533908525268,0.8054429137683513,11
50130108,CENTRAL PARK CAFE,Manhattan,Italian,2026-08-22,2-3,0.8387739813077845,0.8040621282327155,12
50151960,PAPATHAI,Manhattan,Thai,2026-08-22,2-3,0.8375690415337459,0.8028577774910144,13
41686535,NANKING,Queens,Indian,2026-08-22,2-3,0.8185738546214452,0.7840806078500787,14
50159864,PANSHI RESTAURANT & PARTY HALL,Queens,Bangladeshi,2026-08-22,1,0.8172575893849311,0.7827932151143151,15
50126902,STAR KABAB RESTAURANT,Queens,Bangladeshi,2026-08-22,2-3,0.8128946920628272,0.7785380048408951,16
41459932,FARMERS PIZZA & GRILL,Queens,American,2026-08-22,4+,0.8056676667149012,0.7715286262107592,17
50106518,BAO BUTONG,Queens,Chinese,2026-08-22,2-3,0.7944086640563551,0.7607010709512882,18
50072911,JUANITO RESTAURANT,Bronx,Spanish,2026-08-22,2-3,0.7928884647138491,0.759247347620845,19
50152363,DELI EL CHAPINCITO,Manhattan,Latin American,2026-08-22,2-3,0.7921294718508739,0.758522253482164,20
50155246,HEY RICH ROASTED,Brooklyn,Chinese,2026-08-22,1,0.790836049347629,0.7572876780032594,21
50139763,ASIA LATINA/MAMA SUSHI/PICHIRRI,Bronx,Asian/Asian Fusion,2026-08-22,1,0.7833668237153523,0.7501843110682436,22
50130237,VILLANO PIZZA,Bronx,Pizza,2026-08-22,1,0.7823623532785798,0.749232351643349,23
50153990,PIAOXIANGYUAN RICE NOODLE #19,Queens,Chinese,2026-08-22,2-3,0.7818899320164229,0.7487848930865372,24
50106885,DON ALEX,Queens,Peruvian,2026-08-22,4+,0.7785309811692284,0.7456082778282713,25
41670224,GYRO KING,Brooklyn,Bangladeshi,2026-08-22,4+,0.7753572397312115,0.7426145066319945,26
50145571,IFFYS HOT CHICKEN & WINGS,Brooklyn,Indian,2026-08-22,1,0.7739696493616477,0.7413079062610008,27
50163226,TOUS LES JOURS,Queens,Bakery Products/Desserts,2026-08-22,1,0.7725821227807602,0.7400027496724347,28
50130931,DONER HAUS,Manhattan,German,2026-08-22,1,0.7643491061416433,0.7322862522931068,29
50144317,NAWABI BHOJ,Brooklyn,Indian,2026-08-22,2-3,0.7619934376614105,0.7300868861291262,30
50042951,DHANSHIRI,Queens,Bangladeshi,2026-08-22,2-3,0.7613846812653248,0.7295191223206711,31
50168103,NURLAN UYGHUR RESTAURANT,Queens,Chinese,2026-08-22,1,0.7595340520751381,0.7277946099505739,32
50106412,TROPICAL JADE 4,Queens,Caribbean,2026-08-22,2-3,0.7546618647680394,0.7232650642669856,33
50147456,OSU-R.E GRILL,Bronx,African,2026-08-22,2-3,0.7539375112582425,0.7225929434114392,34
50150114,UMI SUSHI & SEAFOOD BUFFET,Staten Island,Asian/Asian Fusion,2026-08-22,1,0.7517673357616839,0.7205812251859279,35
50152084,MUGHAL CURRY SPOT,Bronx,Indian,2026-08-22,1,0.7454753485967431,0.7147649934233925,36
50011004,BRAVO AFRICAN RESTAURANT,Bronx,African,2026-08-22,2-3,0.7405134644605035,0.7101949280942528,37
50150634,KUNG FU TEA,Bronx,Coffee/Tea,2026-08-22,1,0.7402736890431842,0.7099744489426946,38
50151373,QUEENS COFFEE SHOP,Queens,Latin American,2026-08-22,1,0.7397247228897387,0.7094697857750153,39
50033234,LEE'S KITCHEN,Bronx,Chinese,2026-08-22,2-3,0.7382082569282198,0.7080765960979265,40
50106170,RUTA OAXACA,Queens,Mexican,2026-08-22,2-3,0.7379947427756343,0.7078805437487671,41
